File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\user\Documents\MathProgram\Logic\src\LocMetrics.css,1,1,6,0,0,0,0,0,0,0
C:\Users\user\Documents\MathProgram\Logic\src\LocMetrics.html,1,1,0,0,0,0,0,0,0,0
C:\Users\user\Documents\MathProgram\Logic\src\LocMetricsFiles.csv,2,1,0,0,1,0,0,0,0,0
C:\Users\user\Documents\MathProgram\Logic\src\LocMetricsFolders.csv,9,8,0,0,1,0,0,0,0,0
C:\Users\user\Documents\MathProgram\Logic\src\LocMetricsFunctions.csv,2,1,0,0,1,0,0,0,0,0
C:\Users\user\Documents\MathProgram\Logic\src\LocMetricsFunctions.html,1,1,0,0,0,0,0,0,0,0
C:\Users\user\Documents\MathProgram\Logic\src\LocMetricsPie.jpg,57,57,14,0,0,0,0,0,0,0
C:\Users\user\Documents\MathProgram\Logic\src\LocMetricsPie.png,11,11,5,0,0,0,0,0,0,0
C:\Users\user\Documents\MathProgram\Logic\src\BlindGraphTraversal\AcyclicBreadthFirstPathTraverser.java,15,9,7,0,6,0,0,0,0,0
C:\Users\user\Documents\MathProgram\Logic\src\BlindGraphTraversal\AcyclicPath.java,48,33,24,5,15,0,0,0,0,0
C:\Users\user\Documents\MathProgram\Logic\src\BlindGraphTraversal\BreadthFirstPathTraverser.java,35,24,20,4,11,0,0,0,0,0
C:\Users\user\Documents\MathProgram\Logic\src\BlindGraphTraversal\Edgey.java,20,12,10,2,8,0,0,0,0,0
C:\Users\user\Documents\MathProgram\Logic\src\BlindGraphTraversal\HaltingCondition.java,8,4,3,0,4,0,0,0,0,0
C:\Users\user\Documents\MathProgram\Logic\src\BlindGraphTraversal\LocMetrics.css,1,1,6,0,0,0,0,0,0,0
C:\Users\user\Documents\MathProgram\Logic\src\BlindGraphTraversal\LocMetrics.html,1,1,0,0,0,0,0,0,0,0
C:\Users\user\Documents\MathProgram\Logic\src\BlindGraphTraversal\LocMetricsFiles.csv,10,9,0,0,1,0,0,0,0,0
C:\Users\user\Documents\MathProgram\Logic\src\BlindGraphTraversal\LocMetricsFolders.csv,4,3,0,0,1,0,0,0,0,0
C:\Users\user\Documents\MathProgram\Logic\src\BlindGraphTraversal\LocMetricsFunctions.csv,2,1,0,0,1,0,0,0,0,0
